iteration,loc_LB,loc_UB,glob_LB,glob_UB,repeated_services,missed_services 
15,16135.612000000001,35032.812000000005,16135.612000000001,33377.38799999999,,1;3;5;6;7;8;10;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;30;31;32;34;35;37;38;39;42;44;45;46;47;48;49;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;87;88;89;90;91;92;94;95;96;97;98;
16,16211.276,33379.46399999999,16211.276,33377.38799999999,4;40;,1;3;5;6;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;30;31;32;34;35;37;38;39;42;44;47;48;49;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;83;84;87;88;89;91;92;94;95;96;98;
17,16283.2,33377.38799999999,16283.2,33377.38799999999,4;58;,1;3;5;6;7;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;31;32;34;35;37;38;39;42;44;45;47;48;49;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;83;84;87;88;89;91;92;94;95;96;98;
18,16353.276,34984.10400000001,16353.276,33377.38799999999,,1;3;5;6;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;30;31;32;33;34;35;36;37;38;39;41;42;43;44;47;48;49;50;51;52;53;55;56;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;83;84;86;87;88;89;91;92;93;94;95;96;98;99;
19,16425.792,32454.672,16425.792,32454.672,4;7;45;97;,1;3;5;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;30;31;34;35;37;38;39;42;44;47;48;49;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;83;84;87;88;91;92;94;95;98;
20,16493.244,33377.38799999999,16493.244,32454.672,4;58;,1;3;5;6;7;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;31;32;34;35;37;38;39;42;44;45;47;48;49;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;83;84;87;88;89;91;92;94;95;96;98;
21,16563.203999999998,32045.924,16563.203999999998,32045.924,4;58;97;,1;3;5;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;31;34;35;37;38;39;42;44;47;48;49;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;83;84;87;88;91;92;94;95;98;
22,16627.868000000002,33321.056,16627.868000000002,32045.924,4;,1;3;5;8;10;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;30;31;34;35;37;38;39;42;44;46;47;48;49;50;51;52;53;55;56;59;61;62;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;81;82;83;84;85;87;88;90;91;92;94;95;97;98;
23,16696.748,34072.348,16696.748,32045.924,4;7;45;,1;3;5;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;30;31;33;34;35;36;37;38;39;41;42;43;44;47;48;49;50;51;52;53;55;56;58;59;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;77;78;79;80;83;84;86;87;88;91;92;93;94;95;98;99;
24,16762.244,33377.38799999999,16762.244,32045.924,4;58;,1;3;5;6;7;8;12;13;14;15;16;18;19;20;21;22;23;24;25;26;29;31;32;34;35;37;38;39;42;44;45;47;48;49;50;51;52;53;55;56;59;60;61;62;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;83;84;87;88;89;91;92;94;95;96;98;
